,longBusinessSummary,companyOfficers,executiveTeam,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,tradeable,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,postMarketTime,regularMarketTime,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,corporateActions,marketState,shortName,longName,hasPrePostMarketData,firstTradeDateMilliseconds,exchange,cryptoTradeable,dividendYield,trailingThreeMonthReturns,trailingThreeMonthNavReturns,netAssets,epsTrailingTwelveMonths,sharesOutstanding,bookValue,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,netExpenseRatio,marketCap,priceToBook,sourceInterval,exchangeDataDelayedBy,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fullExchangeName,financialCurrency,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,trailingPegRatio,phone,earningsTimestampStart,earningsTimestampEnd,forwardPE,dividendDate,epsForward,52WeekChange,displayName
10,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Industrial companies by the Global Industry Classification Standard, including securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine transportation. It is non-diversified.",[],[],86400.0,2,150.56,150.52,149.1045,150.62,150.56,150.52,149.1045,150.62,26.230011,11502010.0,11502010.0,11072462.0,8100740.0,8100740,149.29,150.25,29.0,14.0,0.0127,23089620992.0,112.75,155.15,150.5604,139.65495,1.24,0.008235919,150.57965,USD,False,Industrials,16.05228,1.15,SPDR State Street Global Advisors,913766400.0,Exchange Traded Fund,0.1966798,0.1526776,ETF,XLI,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933395.0,1756929600,finmb_8795505,America/New_York,EDT,-14400000,us_market,False,-0.5047785,149.8,[],POST,SPDR Select Sector Fund - Indus,The Industrial Select Sector SPDR Fund,True,914337000000,PCX,False,1.27,16.08126,16.08126,23089621000.0,5.7110157,136626000.0,98.382,-0.76039124,-0.005050407,10.14505,0.07264368,0.08,20466575360.0,1.5226362,15,0,0.0,149.8,0.0,-0.7599945,149.1045 - 150.62,NYSEArca,USD,11072462,37.050003,0.32860312,112.75 - 155.15,-5.349991,-0.034482703,17.003418,,,,,,,,,
11,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than or equal to twenty years.",[],[],86400.0,2,85.63,85.93,85.895,86.81,85.63,85.93,85.895,86.81,,52291184.0,52291184.0,36289690.0,35125140.0,35125140,86.57,86.62,1.0,3.0,0.044099998,48435347456.0,83.3,101.64,86.7794,88.23565,2.152,0.02513138,85.62021,USD,False,Long Government,1.59507,2.23,iShares,1027296000.0,Exchange Traded Fund,-0.0454848,-0.0974372,ETF,TLT,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933467.0,1756929600,finmb_8797414,America/New_York,EDT,-14400000,us_market,False,1.097749,86.57,[],POST,iShares 20+ Year Treasury Bond ,iShares 20+ Year Treasury Bond ETF,True,1028035800000,NGM,False,4.41,-1.58555,-1.58555,48435347000.0,-12.586,109700000.0,148.865,-0.20940399,-0.002413061,-1.6656494,-0.018877285,0.15,9496728576.0,0.58153355,15,0,0.034652628,86.6,0.02999878,0.94000244,85.895 - 86.81,NasdaqGM,USD,36289690,3.2699966,0.03925566,83.3 - 101.64,-15.07,-0.1482684,-13.513785,,1-800-474-2737,,,-4328.5,1496793600.0,-0.02,,
12,The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to one year and less than three years.,[],[],86400.0,2,82.68,82.68,82.6701,82.76,82.68,82.68,82.6701,82.76,3760.909,3231702.0,3231702.0,3418641.0,3697260.0,3697260,82.73,82.74,8.0,69.0,0.0396,23312961536.0,81.67,83.3,82.6354,82.3845,0.313,0.0037856796,82.67394,USD,False,Short Government,2.69106,0.25,iShares,1027296000.0,Exchange Traded Fund,0.0362625,0.013494999,ETF,SHY,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933145.0,1756929601,finmb_8797409,America/New_York,EDT,-14400000,us_market,False,0.07256599,82.74,[],POST,iShares 1-3 Year Treasury Bond ,iShares 1-3 Year Treasury Bond ETF,True,1028035800000,NGM,False,3.96,0.2903,0.2903,23312961500.0,0.022,209300000.0,86.242,0.104599,0.0012657893,0.35549927,0.0043151234,0.15,17317482496.0,0.9593933,15,0,0.0,82.74,0.0,0.05999756,82.6701 - 82.76,NasdaqGM,USD,3418641,1.0699997,0.013101502,81.67 - 83.3,-0.5600052,-0.006722751,-0.12080073,,1-800-474-2737,,,,,,,
13,"The Trust holds gold bars and from time to time, issues Baskets in exchange for deposits of gold and distributes gold in connection with redemptions of Baskets. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trust’s expenses. The Sponsor believes that, for many investors, the Shares represent a cost-effective investment in gold.",[],[],86400.0,2,325.59,327.76,326.7301,329.45,325.59,327.76,326.7301,329.45,,15912027.0,15912027.0,9339545.0,9141380.0,9141380,327.96,328.09,4.0,4.0,0.0,101202092032.0,229.38,329.45,308.9502,282.58255,0.0,0.0,321.3144,USD,False,Commodities Focused,26.06721,0.42,SPDR State Street Global Advisors,1100736000.0,Exchange Traded Fund,0.2691748,0.12259869,ETF,GLD,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933479.0,1756929600,finmb_5600649,America/New_York,EDT,-14400000,us_market,False,0.78319925,328.14,[],POST,SPDR Gold Trust,SPDR Gold Shares,True,1100788200000,PCX,False,0.0,-0.19714,-0.19714,101202092000.0,-9.394,260300000.0,170.017,19.18982,0.062112987,45.557465,0.16121826,0.4,85414846464.0,1.9300424,15,0,-0.11885617,327.75,-0.39001465,2.5500183,326.7301 - 329.45,NYSEArca,USD,9339545,98.76001,0.43055195,229.38 - 329.45,-1.3099976,-0.0039763167,41.296707,,,,,,,,,
14,"The Trust seeks to reflect such performance before payment of the Trust's expenses and liabilities. It is not actively managed. The Trust does not engage in any activities designed to obtain a profit from, or to ameliorate losses caused by, changes in the price of silver.",[],[],86400.0,2,37.15,37.33,37.18,37.64,37.15,37.33,37.18,37.64,,26997393.0,26997393.0,20783366.0,18636680.0,18636680,37.38,37.35,231.0,293.0,0.0,17532395520.0,25.27,37.64,34.3224,30.5135,0.0,0.0,36.79041,USD,False,Commodities Focused,24.94678,0.92,iShares,1145577600.0,Exchange Traded Fund,0.30881652,0.077739,ETF,SLV,en-US,US,ETF,Nasdaq Real Time Price,True,HIGH,1756933483.0,1756929600,finmb_22769902,America/New_York,EDT,-14400000,us_market,False,0.5114364,37.34,[],POST,iShares Silver Trust,iShares Silver Trust,True,1146231000000,PCX,False,0.0,12.25563,12.25563,17532395500.0,-3.46,341449984.0,21.348,3.017601,0.087919295,6.8265,0.22372064,0.5,12749742080.0,1.74911,15,0,0.18746571,37.41,0.069999695,0.18999863,37.18 - 37.64,NYSEArca,USD,20783366,12.07,0.47764146,25.27 - 37.64,-0.29999924,-0.007970224,44.66511,,,,,,,,,
15,"The fund pursues its investment objective by investing in a portfolio of exchange-traded futures on Light Sweet Crude Oil (WTI), Heating Oil, RBOB Gasoline, Natural Gas, Brent Crude, Gold, Silver, Aluminum, Zinc, Copper Grade A, Corn, Wheat, Soybeans, and Sugar. The index is composed of notional amounts of each of these commodities.",[],[],86400.0,2,22.57,22.5,22.34,22.505,22.57,22.5,22.34,22.505,5.4099154,820076.0,820076.0,684374.0,381060.0,381060,22.35,22.36,41.0,97.0,0.0497,1283062912.0,19.84,23.6,22.1326,21.90475,,,22.58,USD,False,Commodities Broad Basket,5.19906,0.94,Invesco,1138924800.0,Exchange Traded Fund,-0.0033715998,0.13394,ETF,DBC,en-US,US,ETF,Delayed Quote,True,HIGH,1756932201.0,1756929600,finmb_22546372,America/New_York,EDT,-14400000,us_market,False,-0.886127,22.37,[],POST,Invesco DB Commodity Index Trac,Invesco DB Commodity Index Tracking Fund,True,1139236200000,PCX,False,4.97,9.02913,9.02913,1283062910.0,4.135,111400000.0,16.558,0.23740005,0.010726261,0.46525002,0.021239685,0.85,2492018176.0,1.3510085,15,0,1.0281607,22.6,0.22999954,-0.19999886,22.34 - 22.505,NYSEArca,USD,684374,2.5300007,0.12752019,19.84 - 23.6,-1.2299995,-0.052118625,4.927945,,800-983-0903,,,,,,,
16,"The fund invests in futures contracts in an attempt to track its index. The index is calculated to reflect the changes in market value over time, whether positive or negative, of long positions in DX Contracts.",[],[],86400.0,2,27.55,27.53,27.46,27.56,27.55,27.53,27.46,27.56,,577165.0,577165.0,1280570.0,838200.0,838200,27.5,27.51,50.0,709.0,0.0473,205908096.0,26.81,30.69,27.3246,28.36615,0.0,0.0,27.57,USD,False,Trading--Miscellaneous,-5.26852,-6.88,Invesco,1171929600.0,Exchange Traded Fund,0.0169116,0.0429258,ETF,UUP,en-US,US,ETF,Delayed Quote,True,HIGH,1756932300.0,1756929600,finmb_31289611,America/New_York,EDT,-14400000,us_market,False,-0.18148544,27.5,[],POST,Invesco DB USD Index Bullish Fu,Invesco DB US Dollar Index Bullish Fund,True,1172759400000,PCX,False,4.73,1.82682,1.82682,205908096.0,,,,0.17539978,0.006419116,-0.8661499,-0.03053463,0.75,,,15,0,0.0,27.5,0.0,-0.049999237,27.46 - 27.56,NYSEArca,,1280570,0.69000053,0.025736686,26.81 - 30.69,-3.1900005,-0.10394267,-2.2356272,,800-983-0903,,,,,,,
17,,,,86400.0,4,1.1645511,1.1646867,1.1613053,1.1684973,1.1645511,1.1646867,1.1613053,1.1684973,,0.0,0.0,0.0,0.0,0,1.1663167,1.165637,0.0,0.0,,,1.0183818,1.183026,1.1669458,1.1008155,,,,USD,False,,,,,,,,,CURRENCY,EURUSD=X,en-US,US,Currency,Delayed Quote,True,HIGH,,1756933434,finmb_EUR_X,Europe/London,BST,3600000,ccy_market,False,0.15160087,1.1663167,[],REGULAR,EUR/USD,EUR/USD,False,1070236800000,CCY,False,,,,,,,,0.00046217442,0.00039605473,-0.051017404,-0.046345096,,,,15,0,,,,0.0017656088,1.1613053 - 1.1684973,CCY,,0,0.012109995,0.011891409,1.0183818 - 1.183026,-0.124549985,-0.105280854,-5.6934834,,,,,,,,,
18,,,,86400.0,4,0.006741179,0.006742043,0.0067052445,0.0067624683,0.006741179,0.006742043,0.0067052445,0.0067624683,,0.0,0.0,0.0,0.0,0,0.006754292,0.0067523313,0.0,0.0,,,0.00629497,0.0071644527,0.0068040057,0.0067127105,,,,USD,False,,,,,,,,,CURRENCY,JPYUSD=X,en-US,US,Currency,Delayed Quote,True,HIGH,,1756933483,finmb_JPY_X,Europe/London,BST,3600000,ccy_market,False,0.20938565,0.006755296,[],REGULAR,JPY/USD,JPY/USD,False,846633600000,CCY,False,,,,,,,,1.0597534,155.75433,-0.93911743,-139.90138,,,,15,0,,,,1.4116988e-05,0.0067052445 - 0.0067624683,CCY,,0,8.453995,1342.9762,0.00629497 - 0.0071644527,-10.824997,-1510.9315,1.1908889,,,,,,,,,
19,,,,86400.0,2,116.405,116.516,116.3885,116.835,116.405,116.516,116.3885,116.835,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,101.916,118.195,116.59522,110.246635,,,,USD,False,,,,,,,,,INDEX,^XDE,en-US,US,Index,Delayed Quote,True,HIGH,,1756933381,finmb_INDEXXDE,America/New_York,EDT,-14400000,us_market,False,0.19331427,116.63,[],POST,PHLX Euro,Euro Currency Index,False,1168525800000,NIM,False,,,,,,,,0.03477478,0.00029825218,6.383362,0.05790074,,,,15,0,,,,0.22499847,116.3885 - 116.835,Nasdaq GIDS,,0,14.713997,0.14437376,101.916 - 118.195,-1.5650024,-0.013240851,5.0235987,,,,,,,,5.0235987,Euro Index
20,,,,,2,,,,,,,,,,,,,,82483,,,,,,,9100.0,9400.0,9300.0,9300.0,,,,,False,,,,,,,,,MUTUALFUND,VIX,en-US,US,Fund,Delayed Quote,False,NONE,,1561759658,,America/New_York,EDT,-14400000,us_market,False,,,[],POST,,,False,1417703400000,YHD,False,,,,,,,,,,,,,,,15,0,,,,,,YHD,,196766,,,9100.0 - 9400.0,,,0.0,,,,,,,,,
